Category,Item,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Restaurant
Breakfast,Egg McMuffin,300,13.0,5.0,0.0,260mg,750mg,31,4,3,17,mcdonalds
Breakfast,Egg White Delight,250,8.0,3.0,0.0,25mg,770mg,30,4,3,18,mcdonalds
Breakfast,Sausage McMuffin,370,23.0,8.0,0.0,45mg,780mg,29,4,2,14,mcdonalds
Breakfast,Sausage McMuffin with Egg,450,28.0,10.0,0.0,285mg,860mg,30,4,2,21,mcdonalds
Breakfast,Sausage McMuffin with Egg Whites,400,23.0,8.0,0.0,50mg,880mg,30,4,2,21,mcdonalds
Breakfast,Steak & Egg McMuffin,430,23.0,9.0,1.0,300mg,960mg,31,4,3,26,mcdonalds
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460,26.0,13.0,0.0,250mg,1.3g,38,2,3,19,mcdonalds
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",520,30.0,14.0,0.0,250mg,1.41g,43,3,4,19,mcdonalds
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",410,20.0,11.0,0.0,35mg,1.3g,36,2,3,20,mcdonalds
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",470,25.0,12.0,0.0,35mg,1.42g,42,3,4,20,mcdonalds
Breakfast,Sausage Biscuit (Regular Biscuit),430,27.0,12.0,0.0,30mg,1.08g,34,2,2,11,mcdonalds
Breakfast,Sausage Biscuit (Large Biscuit),480,31.0,13.0,0.0,30mg,1.19g,39,3,3,11,mcdonalds
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),510,33.0,14.0,0.0,250mg,1.17g,36,2,2,18,mcdonalds
Breakfast,Sausage Biscuit with Egg (Large Biscuit),570,37.0,15.0,0.0,250mg,1.28g,42,3,3,18,mcdonalds
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),460,27.0,12.0,0.0,35mg,1.18g,34,2,3,18,mcdonalds
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),520,32.0,13.0,0.0,35mg,1.29g,40,3,3,18,mcdonalds
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),410,20.0,8.0,0.0,30mg,1.18g,41,2,3,17,mcdonalds
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),470,24.0,9.0,0.0,30mg,1.29g,46,3,4,17,mcdonalds
Breakfast,Steak & Egg Biscuit (Regular Biscuit),540,32.0,16.0,1.0,280mg,1.47g,38,2,3,25,mcdonalds
Breakfast,"Bacon, Egg & Cheese McGriddles",460,21.0,9.0,0.0,250mg,1.25g,48,2,15,19,mcdonalds
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",400,15.0,7.0,0.0,35mg,1.25g,47,2,16,20,mcdonalds
Breakfast,Sausage McGriddles,420,22.0,8.0,0.0,35mg,1.03g,44,2,15,11,mcdonalds
Breakfast,"Sausage, Egg & Cheese McGriddles",550,31.0,12.0,0.0,265mg,1.32g,48,2,15,20,mcdonalds
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",500,26.0,10.0,0.0,50mg,1.32g,46,2,15,21,mcdonalds
Breakfast,"Bacon, Egg & Cheese Bagel",620,31.0,11.0,0.5,275mg,1.48g,57,3,7,30,mcdonalds
