artiste,titre,popularite,score_danse,tempo,genre,duree
Bruno Mars,That's What I Like (feat. Gucci Mane),60.0,0.854,134.071,5,234596.0ms
Boston,Hitch a Ride,54.0,0.382,116.454,10,251733.0ms
The Raincoats,No Side to Fall In,35.0,0.434,147.681,6,109667.0ms
Deno,Lingo (feat. J.I & Chunkz),66.0,0.853,107.033,5,173968.0ms
Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,53.0,0.167,199.06,10,229960.0ms
The Stooges,Search and Destroy - Iggy Pop Mix,53.0,0.235,152.952,6,208133.0ms
Solomon Burke,None Of Us Are Free,48.0,0.674,143.292,2,329387.0ms
Randy Travis,On the Other Hand,55.0,0.657,96.03,4,3.105783333min
Professional Murder Music,Slow,29.0,0.431,120.857,8,237867.0ms
Dudu Aharon,"דודו, יאללה יאללה",14.0,0.716,128.043,9,164093.0ms
Mohammed Rafi,Meri Dosti Mera Pyar,11.0,0.491,95.558,3,4.33045min
Arctic Monkeys,The View From The Afternoon,59.0,0.387,146.478,10,222947.0ms
Eyal Golan,קרובה אליי,34.0,0.585,143.876,9,206875.0ms
"Harald Lassen, Bram de Looze",How it feels pt. 2,34.0,0.462,122.939,7,4.44025min
Buffalo Springfield,For What It's Worth,76.0,0.653,98.883,10,153693.0ms
Elmore James,Madison Blues,37.0,0.431,67.601,2,146800.0ms
Dudu Aharon,לא יכול בלעדייך,14.0,0.713,108.034,9,179320.0ms
Velvet Two Stripes,Drinks,31.0,0.564,105.01,10,154293.0ms
Eden Ben Zaken,מנגינה,29.0,0.57,93.088,9,217529.0ms
DaBaby,Baby Sitter (feat. Offset),70.0,0.852,92.506,5,157693.0ms
Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),48.0,0.347,171.991,6,283013.0ms
Clairmont The Second,intres-ting,44.0,0.796,158.105,1,137872.0ms
Krankhead,Cut Throat,29.0,0.805,160.018,5,138000.0ms
The Stone Roses,Driving South,44.0,0.472,98.784,10,309867.0ms
R3HAB,Whiplash - Acoustic,44.0,0.556,138.091,9,145217.0ms
MC Hammer,U Can't Touch This,73.0,0.867,133.148,9,257360.0ms
duendita,Open Eyes,35.0,0.341,144.109,1,204280.0ms
Rainbow,Since You Been Gone,66.0,0.733,120.814,8,197160.0ms
fijitrip,Private Social Network,30.0,0.696,121.032,6,180822.0ms
Machine Gun Kelly,love race (feat. Kellin Quinn),81.0,0.517,95.906,9,188779.0ms
ShittyCT,Mahapecha Shel Simcha,4.0,0.437,170.023,6,180293.0ms
Tetrarch,Negative Noise,49.0,0.384,194.842,8,247370.0ms
Dreezy,Where Them $ @,42.0,0.858,170.875,5,193962.0ms
The Ayoub Sisters,Mother's Pride,16.0,0.297,80.672,7,3.503783333min
Brandon Jack & The Artifacts,four days,29.0,0.516,170.087,1,130329.0ms
Moon Guitar,Struna,47.0,0.32,81.09,7,2.817633333min
Ivri Lider,נסיכה שלי,47.0,0.661,127.873,9,216695.0ms
Vieux Farka Touré,Bonheur,37.0,0.569,105.156,2,338292.0ms
Kvelertak,Crack of Doom (feat. Troy Sanders),44.0,0.357,159.81,8,233929.0ms
Better Than Ezra,Good,63.0,0.615,109.95,10,185093.0ms
