Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Wii Sports,Wii,2006,41490000.0,29020000.0,3770000.0,8460000.0
Super Mario Bros.,NES,1985,29080000.0,3580000.0,6810000.0,770000.0
Mario Kart Wii,Wii,2008,15850000.0,12880000.0,3790000.0,3310000.0
Wii Sports Resort,Wii,2009,15750000.0,11010000.0,3280000.0,2960000.0
Pokemon Red/Pokemon Blue,GB,1996,11270000.0,8890000.0,10220000.0,1000000.0
Tetris,GB,1989,23200000.0,2260000.0,4220000.0,580000.0
Wii Play,Wii,2006,14030000.0,9200000.0,2930000.0,2850000.0
New Super Mario Bros. Wii,Wii,2009,14590000.0,7060000.0,4700000.0,2260000.0
Duck Hunt,NES,1984,26930000.0,630000.0,280000.0,470000.0
Pokemon Gold/Pokemon Silver,GB,1999,9000000.0,6180000.0,7200000.0,710000.0
Wii Fit,Wii,2007,8940000.0,8029999.999999999,3600000.0,2150000.0
Wii Fit Plus,Wii,2009,9090000.0,8590000.0,2530000.0,1790000.0
Kinect Adventures!,X360,2010,14970000.0,4940000.0,240000.0,1670000.0
Grand Theft Auto V,PS3,2013,7010000.0,9270000.0,970000.0,4139999.9999999995
Grand Theft Auto: San Andreas,PS2,2004,9430000.0,400000.0,410000.0,10570000.0
Super Mario World,SNES,1990,12780000.0,3750000.0,3540000.0,550000.0
Super Mario Land,GB,1989,10830000.0,2710000.0,4179999.9999999995,420000.0
Super Mario Bros. 3,NES,1988,9540000.0,3440000.0,3840000.0,460000.0
Grand Theft Auto V,X360,2013,9630000.0,5310000.0,60000.0,1380000.0
Grand Theft Auto: Vice City,PS2,2002,8410000.0,5490000.0,470000.0,1780000.0
Pokemon Ruby/Pokemon Sapphire,GBA,2002,6060000.0,3900000.0,5380000.0,500000.0
Gran Turismo 3: A-Spec,PS2,2001,6850000.0,5090000.0,1870000.0,1160000.0
Call of Duty: Modern Warfare 3,X360,2011,9030000.0,4280000.0,130000.0,1320000.0
Pok?mon Yellow: Special Pikachu Edition,GB,1998,5890000.0,5040000.0,3120000.0,590000.0
Call of Duty: Black Ops,X360,2010,9670000.0,3730000.0,110000.0,1130000.0
Pokemon X/Pokemon Y,3DS,2013,5170000.0,4050000.0,4340000.0,790000.0
Call of Duty: Black Ops 3,PS4,2015,5770000.0,5810000.0,350000.0,2310000.0
Call of Duty: Black Ops II,PS3,2012,4990000.0,5880000.0,650000.0,2520000.0
Call of Duty: Black Ops II,X360,2012,8250000.0,4300000.0,70000.0,1120000.0
Call of Duty: Modern Warfare 2,X360,2009,8520000.0,3630000.0,80000.0,1290000.0
Call of Duty: Modern Warfare 3,PS3,2011,5540000.0,5820000.0,490000.0,1620000.0
Grand Theft Auto III,PS2,2001,6990000.0,4510000.0,300000.0,1300000.0
Super Smash Bros. Brawl,Wii,2008,6750000.0,2610000.0,2660000.0,1020000.0
Call of Duty: Black Ops,PS3,2010,5980000.0,4440000.0,480000.0,1830000.0
Mario Kart 7,3DS,2011,4740000.0,3910000.0,2670000.0,890000.0
Halo 3,X360,2007,7970000.0,2830000.0,130000.0,1210000.0
Grand Theft Auto V,PS4,2014,3800000.0,5810000.0,360000.0,2020000.0
Super Mario 64,N64,1996,6910000.0,2850000.0,1910000.0,230000.0
Gran Turismo 4,PS2,2004,3010000.0,10000.0,1100000.0,7530000.0
Super Mario Galaxy,Wii,2007,6160000.0,3400000.0,1200000.0,760000.0
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,4230000.0,3370000.0,3080000.0,650000.0
Super Mario Land 2: 6 Golden Coins,GB,1992,6160000.0,2040000.0,2690000.0,290000.0
Grand Theft Auto IV,X360,2008,6760000.0,3100000.0,140000.0,1030000.0
Gran Turismo,PS,1997,4019999.9999999995,3870000.0,2540000.0,520000.0
Super Mario 3D Land,3DS,2011,4890000.0,2990000.0,2130000.0,780000.0
Gran Turismo 5,PS3,2010,2960000.0,4880000.0,810000.0,2120000.0
Call of Duty: Modern Warfare 2,PS3,2009,4990000.0,3690000.0,380000.0,1630000.0
Grand Theft Auto IV,PS3,2008,4760000.0,3760000.0,440000.0,1620000.0
Super Mario All-Stars,SNES,1993,5990000.0,2150000.0,2120000.0,290000.0
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,4340000.0,2650000.0,3150000.0,350000.0
Call of Duty: Ghosts,X360,2013,6720000.0,2630000.0,40000.0,820000.0
Halo: Reach,X360,2010,7030000.0,1980000.0,80000.0,780000.0
